key,id,university_name,country,teaching,international,research,citations,income,total_score,rank,num_students,student_staff_ratio,international_students,female_male_ratio,year,ranking_name,Total University Score,Teaching Score,Research Score,Citation Score,International Score,Income Score,Staff to Student Ratio,Name
81,Uppsala University,Uppsala University,Sweden,44.1,59.6,61,80.9,39.5,61.2,81,0,0,0,0,0,Uppsala University,61.2,44.1,61,80.9,59.6,39.5,0,Uppsala University
82,University of Copenhagen,University of Copenhagen,Denmark,49.8,83.3,42.7,86.2,45,61,82,0,0,0,0,0,University of Copenhagen,61,49.8,42.7,86.2,83.3,45,0,University of Copenhagen
82,University of New South Wales,University of New South Wales,Australia,40.7,89.5,53.9,82.1,50,61,82,0,0,0,0,0,University of New South Wales,61,40.7,53.9,82.1,89.5,50,0,University of New South Wales
84,University of Freiburg,University of Freiburg,Germany,47.4,60.3,51.1,80.5,100,60.7,84,0,0,0,0,0,University of Freiburg,60.7,47.4,51.1,80.5,60.3,100,0,University of Freiburg
85,Seoul National University,Seoul National University,South Korea,66.5,30.9,70.5,50,85.4,60.5,85,0,0,0,0,0,Seoul National University,60.5,66.5,70.5,50,30.9,85.4,0,Seoul National University
86,University of St Andrews,University of St Andrews,United Kingdom,49.7,92.3,47.3,78.8,30.6,60.4,86,0,0,0,0,0,University of St Andrews,60.4,49.7,47.3,78.8,92.3,30.6,0,University of St Andrews
87,Vanderbilt University,Vanderbilt University,United States of America,47.8,29.1,44.2,95.7,63.2,60.1,87,0,0,0,0,0,Vanderbilt University,60.1,47.8,44.2,95.7,29.1,63.2,0,Vanderbilt University
88,Kyoto University,Kyoto University,Japan,70.6,26.1,69.3,46.6,79,59.9,88,0,0,0,0,0,Kyoto University,59.9,70.6,69.3,46.6,26.1,79,0,Kyoto University
88,Maastricht University,Maastricht University,Netherlands,37.5,95.5,47.7,82.7,95.4,59.9,88,0,0,0,0,0,Maastricht University,59.9,37.5,47.7,82.7,95.5,95.4,0,Maastricht University
90,Emory University,Emory University,United States of America,48.3,51,37.1,96.7,48.9,59.7,90,0,0,0,0,0,Emory University,59.7,48.3,37.1,96.7,51,48.9,0,Emory University
